id,hid,hotel_chain,kind,name,evf_score
silk_road_boutique_hotel,13345003,No chain,Boutique_and_Design,Бутик-отель Silk Road- Шелковый Путь,80
more_view_spa_rasko_home_s_saunoy_apartments,13319787,No chain,Resort,Апартаменты MORE и SPA c сауной и видом на реку,80
ibis_irkutsk_center,8734978,Ibis,Hotel,Отель Ибис Иркутск Центр,78.75
irkutsk_city_center,13384478,No chain,Hotel,Irkutsk City Center,78.75
baikal_forest_hotel,9825031,No chain,Hotel,Отель Baikal Forest,77.5
azimut_aeroport_irkutsk_hotel,13317260,Azimut Hotels,Hotel,AZIMUT Отель Аэропорт Иркутск 4*,76.25
city_heart_u_130go_kvartala_apartments,10515969,No chain,Apartment,Апартаменты City Heart у 130-го Квартала,75
best_eastern_hotel_zvezda,7806155,No chain,Hotel,Отель Звезда,75
kheyvitsa_guest_house,11169967,No chain,Hotel,Отель Гостевой Дом Хейвица,73.75
tajga_hotel,9767827,No chain,Hotel,Отель Тайга,73.75
na_ulice_chekhova_3_apartments,10212346,No chain,Apartment,Апартаменты уютные семейные Лада в центре,72.5
kolibri_apartments_3,10530830,No chain,Apartment,Апартаменты Колибри Премиум Класса в Центре,72.5
u_dramteatra_na_karla_marksa_lodging_house,10595277,No chain,Apartment,Квартира Студия у Драмтеатра на Карла Маркса,71.25
north_star_hotel_9,10670964,No chain,Hotel,Отель North Star,71.25
otel_irkut,8348721,No chain,Hotel,Отель Иркут,70
hotel_ochagof,8685974,No chain,Hotel,Отель Очагоф,70
nice_people_minihotel,8736990,No chain,Mini-hotel,Мини-Отель Nice People,68.75
velvet_s_balkonom_i_vidom_na_reku_flat,13382000,No chain,Apartment,Квартира Velvet с балконом и видом на реку,68.75
armat_hotel,8755884,No chain,Hotel,Отель Armat,68.75
baikal_business_center_hotel,7827545,No chain,Hotel,Отель Байкал Бизнес Центр,68.75
cozy_stay_apartment,9999087,No chain,Apartment,Апартаменты Cozy Stay,67.5
woodstone_studio_apartments,10002983,No chain,Apartment,Апартаменты Wood&Stone Studio,67.5
kristalnaya_voda_apartments,10000237,No chain,Apartment,Апартаменты Rasko Home Кристальная Вода возле в стиле Байкальского дизайна,67.5
apartamenty_siberian_voyager,10018060,No chain,Apartment,Апартаменты Siberian Voyager,67.5
modul,8585836,No chain,Hotel,Гостиница Комфорт,67.5
tsentralny_park_apartment_1,13346260,No chain,Apartment,Апартаменты Центральный парк 1,66.25
apartamentyi_historical_place,10009851,No chain,Apartment,Апартаменты Historical Place,66.25
na_lermontova_apartments_4,11028543,No chain,Apartment,Апартаменты на Лермонтова,66.25
sibirskie_apartamentyi_na_25_oktyabrya,9992650,No chain,Apartment,Квартира двухкомнатные Be Home на 25 октября,66.25
strizhi_na_kultukskoy_apartments,10210998,No chain,Apartment,Апартаменты Стрижи на Култукской,66.25
tsentralny_park_apartment_4,13346262,No chain,Apartment,Апартаменты Центральный парк 4,66.25
aeroport_kultukskaya_home_apartments,10002890,No chain,Apartment,Апартаменты Изумруд Возле Аэропорта Заселение 24/7,66.25
dom_baykal_guest_house,10151922,No chain,Hotel,Меблированные комнаты Дом Байкал,66.25
rasko_design_home_rasko_design_home_on_baikalskaya_street,10453068,No chain,Apartment,Апартаменты Rasko Home на Байкальской City Space 7 мин до центра 10 мин до аэропорта,66.25
mini_hotel_usadyba1901,13368009,No chain,Mini-hotel,Мини-отель Усадьба1901,66.25
pushkino_2,9992651,No chain,Apartment,Апартаменты Rasko Home Пушкино возле ЖД вокзала 5 мин до центра,66.25
sibirskie_apartamentyi_na_madyar_2,9992649,No chain,Apartment,Квартира Be Home на Мадьяр,66.25
krasnyih_madyar_14_apartments,9769032,No chain,Apartment,Апартаменты Красных Мадьяр 14,66.25
apartamenty_dvukhkomnatnaya_studya_v_tsentre,10095054,No chain,Apartment,Квартира Двухкомнатная Студя в Центре,66.25
kievskaya_12_apartments,9835149,No chain,Apartment,Квартира Киевская 12,65
studiya_v_zhk_strizhi_siti_apartments,9989175,No chain,Apartment,"Апартаменты ""Студия 15""",65
tsentralny_park_apartments_2,10330698,No chain,Apartment,Апартаменты Центральный Парк,65
kristalny_led_apartments,10000089,No chain,Apartment,Апартаменты Rasko Home Кристальный Лед возле ЖД вокзала 7 мин до центра,65
na_dzerzhinskogo_apartments_2,9835156,No chain,Apartment,Квартира на Дзержинского,65
babr_stadion_trud_apartments,9835154,No chain,Apartment,Квартира Бабр Стадион Труд,65
strizhi_v_2_km_ot_aeroporta_udalennoe_zaselenie,9994546,No chain,Apartment,Квартира Стрижи,65
apartamenty_sibirskie_apartamenty_na_sedova_711,10053000,No chain,Apartment,Квартира двухкомнатные Be Home на Седова,65
greystudio_c_vidom_na_angaru_flat,11315055,No chain,Apartment,Квартира Grеy-Studiо c видом на Aнгaру,65
apartments_gostiru_near_the_fashion_district_1,13362717,No chain,Apartment,Апартаменты Фея с видом на Ангару,65
pryany_shokolad_apartments,13096826,No chain,Apartment,Апартаменты Пряный Шоколад,65
historical_center_apartments_3,10000904,No chain,Apartment,Апартаменты Historical Center,65
baikalalyaska,11235996,No chain,Hotel,Отель Байкал-Аляска,65
apartamenty_dzerzhinskogo_20_tsentr_irkutska,10095055,No chain,Apartment,Квартира Дзержинского 20 центр Иркутска,65
interesnaya_studiya_s_vidom_na_park_apartments,9835158,No chain,Apartment,Квартира Интересная Студия с Видом на Парк,65
velikolepnaya_studiya_vozle_modnogo_kvartala,9992207,No chain,Apartment,Апартаменты на улице Красных Мадьяр 14,65
tsentralny_park_apartment_2,13346261,No chain,Apartment,Апартаменты Центральный парк 2,63.75
uyutnaya_v_zhk_biznesklassa_strizhi_siti_flat,13284523,No chain,Apartment,Квартира Уютная в ЖК Бизнес-класса Стрижи Сити,63.75
kievskaya_3_apartments,9835155,No chain,Apartment,Квартира Киевская 3,63.75
forest_11,9993442,No chain,Apartment,Апартаменты Rasko Home Forest возле аэропорта 10 мин до центра,63.75
kievskaya_19_central_market_apartments,9835153,No chain,Apartment,Квартира Киевская 19 Центральный Рынок,63.75
studii_be_home_na_stroitelnom_4_flat,13392641,No chain,Apartment,Квартира Студии Be Home на Строительном 4,63.75
be_home_na_madyar_flat_1,13364526,No chain,Apartment,Квартира Be Home на Мадьяр 1,63.75
green_hotel_,6518006,No chain,Hotel,Грин Отель,63.75
be_home_na_madyar_flat_1,13364526,No chain,Apartment,Квартира Be Home на Мадьяр 1,63.75
moonlight_ryadom_aeroport_apartments,11201702,No chain,Apartment,Апартаменты Moonlight рядом Аэропорт,63.75
uyutnaya_skandinaviya_vozle_aeroporta_apartments,10009854,No chain,Apartment,Апартаменты Уютная Скандинавия возле аэропорта,63.75
apartamentyi_tsentralnyij_park,8485967,No chain,Apartment,Апартаменты Центральный парк,63.75
9_nochey_irkutsk_apartments_2,11193089,No chain,Apartment,Апартаменты 9 Ночей Иркутск,63.75
kvartira_na_piskunova_apartments,10863133,No chain,Apartment,Апартаменты Квартира на Пискунова,63.75
apartamenty_baikal_sunrise,10213130,No chain,Apartment,Апартаменты Baikal Melody в байкальском дизайне Rasko Home возле аэропорта,62.5
na_mamina_sibiryaka_flat,11200840,No chain,Apartment,Квартира на Мамина Сибиряка,62.5
virazh_vozle_aeroporta_na_2_gostya_apartments,13315071,No chain,Apartment,Апартаменты Вираж Возле Аэропорта на 2 Гостя,62.5
na_aeroporte_apartments,10515689,No chain,Apartment,Квартира на Аэропорте,62.5
irkutsk_city_lodge,7729360,No chain,Hotel,Отель Иркутск Сити Лодж,62.5
home_h_aeroport_apartments_hotel,10000906,No chain,Apartment,Квартира ЖК Олимп Аэропорт | Заселение 24/7,62.5
butikhotel_marusya,8059343,No chain,Boutique_and_Design,Бутик-отель Marussia,62.5
usadyba_yegorova_boutique_hotel,13308031,No chain,Boutique_and_Design,Бутик-отель Усадьба Егорова,62.5
evropa_hotel,7828771,No chain,Hotel,Отель Европа,62.5
miniotel_gostiny_dvorik,10040395,No chain,Mini-hotel,Мини-отель Гостиный дворик,62.5
baikal_atmosphere_apartments,10212807,No chain,Apartment,Апартаменты Baikal Atmosphere в байкальском дизайне Rasko Home возле аэропорта,62.5
studiya_na_yakobi_flat,11164437,No chain,Apartment,Квартира Студия на Якоби,61.25
apartamenty_home_hotel_s_vidom,10017288,No chain,Apartment,Квартира Home Hotel Панорама I Заселение 24/7,61.25
minihotel_albatros,6481029,No chain,Hotel,Гостиница Альбатрос,61.25
na_ulitse_sedova_apartments,10360303,No chain,Apartment,Апартаменты Центральный парк Премиум в ЖК 4 Солнца,61.25
irkutsk,7819551,No chain,Hotel,Отель Иркутск,61.25
na_aeroporte_1_apartments,10515475,No chain,Apartment,Квартира на Аэропорте 1,60
apartamentyi_apartamentyi_na_mikrohirurgii_glaza_2,10006020,No chain,Apartment,Квартира на Микрохирургии Глаза 2,58.75
na_mikrokhirurgii_glaza_6_apartments,10172373,No chain,Apartment,Квартира на Микрохирургии Глаза 6,58.75
na_mikrokhirurgii_glaza_5_apartments,10093512,No chain,Apartment,Квартира на Микрохирургии Глаза 5,58.75
prospekt_mini_hotel,11237334,No chain,Mini-hotel,Мини отель Проспект,58.75
admirala_kolchaka_v_istoricheskom_tsentre_irkutska_apartments,13287212,No chain,Apartment,Апартаменты Адмирала Колчака в Историческом Центре Иркутска,58.75
victory_hotel_4,8457230,No chain,Hotel,Гостиница Виктория,58.75
empire_hotel_3,7829344,No chain,Hotel,Гостиница Империя,58.75
rus_hotel_irkutsk,7774831,No chain,Hotel,Гостиничный Комплекс Русь,58.75
royal_hotel_33,6362904,No chain,Hotel,Отель Рояль,58.75
marx_hotel,8662194,No chain,Hotel,Отель Marx Hotel,58.75
apartamentyi_apartamentyi_na_lermontova_na_mikrohirurgii_glaza_4,10009289,No chain,Apartment,Квартира Апартаменты на Лермонтова на Микрохирургии Глаза 4,58.75
yakovlev_hotel,8742012,No chain,Hotel,Отель Яковлевъ,57.5
berezka_aparthotel_2,11152704,No chain,Mini-hotel,Мини-Отель Берёзка,57.5
elitnaya_na_baykalskoy_flat,13284525,No chain,Apartment,Квартира Элитная на Байкальской,57.5
130hotel_minihotel,9209242,No chain,Mini-hotel,Мини-отель 130Hotel,56.25
inn_business_hall,8735100,No chain,Hotel,Отель Business Hall,56.25
atlas_hotel_3,7883850,No chain,Hotel,Гостиница Атлас,56.25
18b_studio_apartments,10010822,No chain,Apartment,Квартира 18b Studio,55
lazurny_bereg_hotel_,7797591,No chain,Hotel,Гостиница Лазурный берег,53.75
vozdushnaya_gavan,8059310,No chain,Hotel,Отель Воздушная Гавань,53.75
rasko_design_home_on_piskunov_street,10153553,No chain,Boutique_and_Design,Rasko Design Home на улице Пискунова,52.5
gostevoj_dom_na_zvezdinskoj,6827039,No chain,Hotel,Отель на Звездинской,52.5
apartamenty_apartluxpolinyosipenko,10019273,No chain,Apartment,Апартаменты ApartLuxПолиныОсипенко,52.5
v_tsentre_u_modnogo_kvartala_apartments,10217524,No chain,Apartment,Апартаменты в Центре у Модного Квартала,52.5
hotel_soyuz_2,8662950,No chain,Hotel,Жилое помещение Союз,52.5
vega_mini_hotel,7776560,No chain,Mini-hotel,Мини-отель Вега,48.75
sokolov_hotel,8852389,No chain,Apart-hotel,Апарт-отель Соколов,48.75
u_istoka_hotel,7675302,No chain,Hotel,Гостиница У Истока,46.25
rasko_design_home_rasko_design_home_on_deputatskaya_street,10453056,No chain,Boutique_and_Design,Rasko Design Home на улице Депутатская,38.75
vesta_hotel_3,10669982,No chain,Hotel,Отель Веста,37.5
hotel_aziyayevropa,13393268,No chain,Hotel,Отель Азия-Европа,37.5
yupiter,9987415,No chain,Hotel,Юпитер,36.25
saturn_8,9291161,No chain,Hotel,Сатурн,32.5
planeta_9,8850641,No chain,Hotel,Планета,30
smart_hotel_kdo_irkutsk_hotel,10153381,No chain,Hotel,Отель Smart Hotel KDO Иркутск,26.25